OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
58,Les Cullayes,1080,1080,VD,22,5799,0,0,0,791,0,0,4755163.0546875,8855.95965590815,2248036.84643555,6088.91426655723
59,Montpreveyres,1081,1081,VD,22,5792,0,0,0,663,0,0,8654961.24243164,18395.0451628747,4090424.88623047,12644.6516532552
60,Corcelles-le-Jorat,1082,1082,VD,22,5785,0,1,0,454,220.26432,0,16897309.125,20875.2146562226,7979956.53125,14339.8112328371
61,Mézières VD,1083,1083,VD,22,5806,0,0,0,1303,0,0,7400609.56542969,13408.0316436428,3496857.62744141,9214.14925507889
62,Carrouge VD,1084,1084,VD,22,5806,0,0,0,1245,0,0,11565392.480957,21856.2422703739,5461640.31787109,15017.095300426
63,Vulliens,1085,1085,VD,22,5803,0,0,0,591,0,0,13961669.1606445,21942.3118855695,6588378.4777832,15062.3241668747
64,Ropraz,1088,1088,VD,22,5798,0,0,0,499,0,0,10150976.65625,19167.8901692188,4792227.10620117,13162.9221297482
65,La Croix (Lutry),1090,1090,VD,22,5606,0,0,0,1340,0,0,9518770.53393555,15516.0197768757,4508607.99023438,10678.4495190417
66,Grandvaux,1091,1091,VD,22,5613,0,1,0,3071,32.56268,0,11988251.6179199,16481.9311935297,5681780.30688477,11342.1776955019
67,Belmont-sur-Lausanne,1092,1092,VD,22,5581,0,0,0,3646,0,0,5582916.37133789,13425.7704191732,2643882.52416992,9239.62898662755
68,La Conversion,1093,1093,VD,22,5606,0,0,0,2705,0,0,2077683.82128906,7598.2884372705,984375.876953125,5232.94652054735
69,Paudex,1094,1094,VD,22,5588,0,1,0,1658,60.31363,0,8168965.58642578,20601.3688704599,3874789.50317383,14169.5827957814
70,Lutry,1095,1095,VD,22,5606,0,0,0,6165,0,0,23775677.6977539,24291.1279098895,11275168.6442871,16713.619974246
71,Cully,1096,1096,VD,22,5613,0,0,0,1860,0,0,41444991.576416,29421.66628788,19666728.1257324,20261.1096455057
72,Riex,1097,1097,VD,22,5613,0,0,0,272,0,0,2833576.79272461,8311.8856302236,1343163.43847656,5718.69212807918
73,Epesses,1098,1098,VD,22,5613,0,0,0,316,0,0,3381043.20532227,11324.5393915537,1602918.19091797,7793.94097734494
74,Morges 1,1110,1110,VD,22,5642,0,0,0,15976,0,0,29272938.2685547,29650.7428689331,13878493.0300293,20402.7994738028
75,Echichens,1112,1112,VD,22,5634,0,0,0,1385,0,0,5464342.27294922,12428.8104537254,2587355.74145508,8552.33755404373
